filename,x_min,y_min,x_max,y_max
word_001.png,45,7,85,45
word_002.png,99,17,159,37
word_003.png,170,16,244,46
word_026.png,248,19,308,48
word_004.png,316,16,488,48
word_005.png,52,54,94,78
word_006.png,86,44,194,86
word_007.png,211,55,330,82
word_008.png,349,42,528,79
word_009.png,45,86,407,129
word_010.png,39,143,169,179
word_011.png,190,140,238,166
word_012.png,250,125,539,169
word_013.png,41,189,131,232
word_014.png,143,180,377,223
word_027.png,395,218,452,254
word_015.png,457,213,579,250
word_016.png,45,243,117,283
word_017.png,134,242,184,266
word_018.png,194,224,395,274
word_019.png,44,272,273,326
word_020.png,142,318,275,358
word_021.png,285,316,384,353
word_022.png,396,312,476,344
word_028.png,482,300,592,343
word_023.png,46,334,124,364
word_024.png,44,374,124,400
word_025.png,140,358,432,406
